OTU1293,yes
OTU183,yes
OTU376,yes
OTU1215,yes
OTU1082,yes
OTU364,yes
OTU1282,yes
OTU289,yes
OTU371,yes
OTU143,yes
OTU259,yes
OTU1144,yes
OTU388,yes
OTU160,yes
OTU10,yes
OTU1514,yes
OTU1679,yes
OTU1335,yes
OTU1040,yes
OTU29,yes
OTU1600,yes
OTU164,yes
OTU1579,yes
OTU1574,yes
OTU1596,yes
OTU118,yes
OTU1067,yes
OTU1072,yes
OTU1086,yes
OTU1283,yes
OTU1172,yes
OTU1272,yes
OTU84,yes
OTU1194,yes
OTU1197,yes
OTU1214,yes
OTU391,yes
OTU1240,yes
OTU15,yes
OTU1226,yes
OTU1234,yes
OTU363,yes
OTU1520,yes
OTU1294,yes
OTU1206,yes
OTU1477,yes
OTU1384,yes
OTU204,yes
OTU1406,yes
OTU1519,yes
OTU1564,yes
OTU1022,yes
OTU135,yes
OTU1069,yes
OTU1156,yes
OTU150,yes
OTU1183,yes
OTU1094,yes
OTU11,yes
OTU335,yes
OTU1275,yes
OTU1230,yes
OTU291,yes
OTU1089,yes
OTU202,yes
OTU1244,yes
OTU97,yes
OTU1598,yes
OTU1159,yes
OTU65,yes
OTU89,yes
OTU319,yes
OTU1138,yes
OTU1031,yes
OTU1262,yes
OTU1158,yes
OTU1533,yes
OTU1005,yes
OTU178,yes
OTU1014,yes
OTU1150,yes
OTU1038,yes
OTU1071,yes
OTU1017,yes
OTU1045,yes
OTU1083,yes
OTU341,yes
OTU1274,yes
OTU398,yes
OTU399,yes
OTU352,yes
OTU105,yes
OTU1320,yes
OTU1196,yes
OTU1201,yes
OTU1174,yes
OTU40,yes
OTU1185,yes
OTU104,yes
OTU1250,yes
OTU1252,yes
OTU1251,yes
OTU88,yes
OTU362,yes
OTU1218,yes
OTU356,yes
OTU369,yes
OTU1228,yes
OTU366,yes
OTU295,yes
OTU1490,yes
OTU1580,yes
OTU1562,yes
OTU274,yes
OTU1025,yes
OTU1104,yes
OTU1260,yes
OTU329,yes
OTU1333,yes
OTU119,yes
OTU662,yes
OTU1220,yes
OTU285,yes
OTU591,yes
OTU502,yes
OTU1413,yes
OTU1410,yes
OTU192,yes
OTU1682,yes
OTU109,yes
OTU124,yes
OTU171,yes
OTU96,yes
OTU357,yes
OTU283,yes
OTU30,yes
OTU404,yes
OTU1050,yes
OTU129,yes
OTU1653,yes
OTU1540,yes
OTU1129,yes
OTU1154,yes
OTU1423,yes
OTU1077,yes
OTU373,yes
OTU1020,yes
OTU1059,yes
OTU317,yes
OTU1212,yes
OTU382,yes
OTU390,yes
OTU36,yes
OTU79,yes
OTU1205,yes
OTU17,yes
OTU1644,yes
OTU642,yes
OTU101,yes
OTU1261,yes
OTU1195,yes
OTU144,yes
OTU1617,yes
OTU1310,yes
OTU1545,yes
OTU182,yes
OTU1454,yes
OTU1539,yes
OTU1164,yes
OTU1453,yes
OTU170,yes
OTU1285,yes
OTU1635,yes
OTU1178,yes
OTU1225,yes
OTU1654,yes
OTU1167,yes
OTU1171,yes
OTU1489,yes
OTU1678,yes
OTU281,yes
OTU1118,yes
OTU165,yes
OTU21,yes
OTU60,yes
OTU1675,yes
OTU73,yes
OTU16,yes
OTU1257,yes
OTU337,yes
OTU1223,yes
OTU1032,yes
OTU1126,yes
OTU1576,yes
OTU1266,yes
OTU1190,yes
OTU1639,yes
OTU1105,yes
OTU125,yes
OTU87,yes
OTU127,yes
OTU1327,yes
OTU313,yes
OTU148,yes
OTU1278,yes
OTU1207,yes
OTU1318,yes
OTU62,yes
OTU132,yes
OTU1236,yes
OTU1273,yes
OTU557,yes
OTU1149,yes
OTU94,yes
OTU323,yes
OTU353,yes
OTU1068,yes
OTU336,yes
OTU1153,yes
OTU1662,yes
OTU280,yes
OTU1211,yes
OTU1258,yes
OTU7,yes
OTU316,yes
OTU151,yes
OTU1558,yes
OTU1325,yes
OTU1155,yes
OTU102,yes
OTU69,yes
OTU22,yes
OTU348,yes
OTU1650,yes
OTU147,yes
OTU68,yes
OTU149,yes
OTU1175,yes
OTU1409,yes
OTU1336,yes
OTU1160,yes
OTU155,yes
OTU1249,yes
OTU54,yes
OTU375,yes
OTU14,yes
OTU301,yes
OTU1546,yes
OTU167,yes
OTU1663,yes
OTU1551,yes
OTU1582,yes
OTU1573,yes
OTU1090,yes
OTU1128,yes
OTU163,yes
OTU1133,yes
OTU169,yes
OTU1007,yes
OTU157,yes
OTU1267,yes
OTU1271,yes
OTU1334,yes
OTU83,yes
OTU1316,yes
OTU26,yes
OTU360,yes
OTU76,yes
OTU1642,yes
OTU1553,yes
OTU173,yes
OTU1116,yes
OTU1151,yes
OTU1291,yes
OTU631,yes
OTU570,yes
OTU239,yes
OTU1356,yes
OTU1135,yes
OTU1578,yes
OTU1141,yes
OTU45,yes
OTU1137,yes
OTU1255,yes
OTU1312,yes
OTU318,yes
OTU1111,yes
OTU379,yes
OTU1237,yes
OTU1221,yes
OTU1238,yes
OTU1247,yes
OTU63,yes
OTU1216,yes
OTU1232,yes
OTU71,yes
OTU1224,yes
OTU1097,yes
OTU184,yes
OTU1638,yes
OTU1408,yes
OTU1321,yes
OTU1035,yes
OTU100,yes
OTU1018,yes
OTU1676,yes
OTU1627,yes
OTU1157,yes
OTU1677,yes
OTU1166,yes
OTU1093,yes
OTU1584,yes
OTU142,yes
OTU138,yes
OTU153,yes
OTU1051,yes
OTU72,yes
OTU1064,yes
OTU1295,yes
OTU23,yes
OTU1292,yes
OTU392,yes
OTU334,yes
OTU349,yes
OTU1339,yes
OTU1309,yes
OTU1179,yes
OTU1314,yes
OTU332,yes
OTU327,yes
OTU326,yes
OTU58,yes
OTU1182,yes
OTU378,yes
OTU1187,yes
OTU1241,yes
OTU1254,yes
OTU361,yes
OTU355,yes
OTU82,yes
OTU661,yes
OTU1391,yes
OTU1369,yes
OTU1430,yes
OTU33,yes
OTU1649,yes
OTU1549,yes
OTU310,yes
OTU277,yes
OTU114,yes
OTU116,yes
OTU272,yes
OTU145,yes
OTU1302,yes
OTU31,yes
OTU331,yes
OTU377,yes
OTU488,yes
OTU194,yes
OTU672,yes
OTU238,yes
OTU224,yes
OTU1683,yes
OTU1474,yes
OTU1552,yes
OTU1626,yes
OTU1354,yes
OTU1027,yes
OTU1110,yes
OTU1130,yes
OTU1331,yes
OTU20,yes
OTU325,yes
OTU1432,yes
OTU180,yes
OTU1434,no
OTU415,no
OTU499,no
OTU1466,no
OTU745,no
OTU1389,no
OTU1013,no
OTU1191,no
OTU1525,no
OTU1595,no
OTU1611,no
OTU827,no
OTU927,no
OTU689,no
OTU954,no
OTU648,no
OTU653,no
OTU924,no
OTU578,no
OTU521,no
OTU768,no
OTU450,no
OTU526,no
OTU579,no
OTU1619,no
OTU1485,no
OTU1658,no
OTU1547,no
OTU731,no
OTU420,no
OTU1365,no
OTU615,no
OTU682,no
OTU814,no
OTU1425,no
OTU552,no
OTU610,no
OTU1359,no
OTU1439,no
OTU704,no
OTU945,no
OTU879,no
OTU639,no
OTU1497,no
OTU807,no
OTU576,no
OTU797,no
OTU457,no
OTU548,no
OTU889,no
OTU1496,no
OTU1362,no
OTU1451,no
OTU612,no
OTU559,no
OTU558,no
OTU665,no
OTU683,no
OTU537,no
OTU851,no
OTU968,no
OTU724,no
OTU783,no
OTU806,no
OTU787,no
OTU829,no
OTU702,no
OTU739,no
OTU995,no
OTU996,no
OTU862,no
OTU494,no
OTU659,no
OTU1372,no
OTU666,no
OTU1486,no
OTU41,no
OTU217,no
OTU957,no
OTU1637,no
OTU812,no
OTU1542,no
OTU1265,no
OTU977,no
OTU264,no
OTU990,no
OTU1418,no
OTU1467,no
OTU441,no
OTU584,no
OTU106,no
OTU1280,no
OTU1361,no
OTU1329,no
OTU531,no
OTU467,no
OTU939,no
OTU655,no
OTU1119,no
OTU2,no
OTU933,no
OTU123,no
OTU1599,no
OTU1193,no
OTU525,no
OTU1357,no
OTU1422,no
OTU267,no
OTU1096,no
OTU6,no
OTU439,no
OTU1112,no
OTU433,no
OTU461,no
OTU602,no
OTU830,no
OTU836,no
OTU729,no
OTU701,no
OTU1593,no
OTU1124,no
OTU1021,no
OTU221,no
OTU1332,no
OTU463,no
OTU191,no
OTU1132,no
OTU1513,no
OTU878,no
OTU1616,no
OTU1554,no
OTU436,no
OTU1641,no
OTU1307,no
OTU712,no
OTU568,no
OTU321,no
OTU562,no
OTU532,no
OTU736,no
OTU1127,no
OTU451,no
OTU1392,no
OTU874,no
OTU679,no
OTU427,no
OTU1006,no
OTU343,no
OTU1165,no
OTU644,no
OTU1555,no
OTU210,no
OTU613,no
OTU1505,no
OTU1049,yes
OTU621,yes
OTU190,no
OTU1085,no
OTU1364,no
OTU1143,no
OTU697,no
OTU895,no
OTU738,no
OTU513,no
OTU1319,no
OTU1659,no
OTU485,no
OTU856,no
OTU370,yes
OTU1231,yes
OTU1471,no
OTU445,no
OTU964,no
OTU884,no
OTU278,no
OTU846,no
OTU66,no
OTU1095,no
OTU523,no
OTU1390,no
OTU93,no
OTU1534,no
OTU1629,no
OTU1503,no
OTU937,no
OTU1608,no
OTU187,no
OTU1259,no
OTU260,no
OTU1350,no
OTU1470,no
OTU572,no
OTU1388,no
OTU709,no
OTU890,no
OTU134,no
OTU1061,no
OTU1308,no
OTU1296,no
OTU469,no
OTU1002,no
OTU1399,no
OTU1351,no
OTU1378,no
OTU1494,no
OTU1492,no
OTU583,no
OTU1394,no
OTU575,no
MiSeq18_OTU75,no
MiSeq23_OTU230,no
OTU1524,no
OTU156,no
OTU394,no
OTU216,no
OTU1073,no
OTU81,no
OTU1070,no
OTU1621,no
OTU338,no
OTU304,no
OTU59,no
OTU1449,no
OTU1081,no
OTU1277,no
OTU297,no
OTU810,no
OTU209,no
OTU1382,no
OTU1528,no
OTU733,no
OTU161,no
OTU1284,no
OTU75,no
OTU728,no
OTU649,no
OTU270,no
OTU833,no
OTU32,no
OTU1670,no
OTU252,no
OTU716,no
OTU658,no
OTU222,no
OTU256,no
OTU983,no
OTU1270,no
OTU230,no
OTU92,no
OTU753,no
OTU311,no
OTU923,no
OTU577,no
OTU489,no
OTU24,no
OTU1411,no
OTU48,no
OTU55,no
OTU951,no
OTU1429,no
OTU19,no
OTU1431,no
OTU1668,no
OTU322,no
OTU567,no
OTU796,no
OTU460,no
OTU875,no
OTU589,no
OTU958,no
OTU860,no
OTU108,no
OTU645,no
OTU244,no
OTU1421,no
OTU294,no
OTU1601,no
OTU1674,no
OTU1571,no
OTU39,no
OTU78,no
OTU86,no
OTU705,no
OTU777,no
OTU1460,no
OTU770,no
OTU413,no
OTU498,no
OTU582,no
OTU588,no
OTU1459,no
OTU1530,no
OTU140,yes
OTU593,no
OTU908,yes
OTU813,yes
OTU1472,yes
OTU1033,yes
OTU893,no
OTU882,no
